date,vaccinated_daily, vaccinated_total, vaccinated_sisonke, j_and_j, pfizer
2021-07-21,273011,5831389,0,0,0
2021-07-22,253719,6085108,0,0,0
2021-07-23,223093,6308201,0,0,0
2021-07-24,49128,6357329,0,0,0
2021-07-25,27053,6384382,0,0,0
2021-07-26,229322,6613704,0,0,0
2021-07-27,240963,6854667,0,0,0
2021-07-28,210765,7065432,0,0,0
2021-07-29,232480,7297912,0,0,0
2021-07-30,206461,7504373,0,0,0
2021-07-31,40166,7544539,0,0,0
2021-08-01,23218,7567757,0,0,0
2021-08-02,202042,7769799,0,0,0
2021-08-03,212023,7981822,0,0,0
2021-08-04,200558,8182380,0,0,0
2021-08-05,195226,8377606,0,0,0
2021-08-06,168822,8546428,0,0,0
2021-08-07,42026,8588454,0,0,0
